model,accuracy,precision,recall,f1_score,roc_auc,log_loss,brier_error,true_negative_rate,false_negative_rate,overall_performance
XGBoost,0.89675,0.8665127020785219,0.938,0.9008403361344538,0.9564950000000001,0.25356101561111194,0.07726298701933107,0.8555,0.062,604.3854562175836
LightGBM,0.88775,0.8517006802721089,0.939,0.8932223543400714,0.9570120000000001,0.25716224958128125,0.07936144549799999,0.8365,0.061,582.7840648253155
Stacking,0.89575,0.8756525866160417,0.9225,0.8984660336011687,0.9639420000000001,0.24633192958557373,0.07481089702974404,0.869,0.0775,504.92926580475864
CatBoost,0.88225,0.8470267816613709,0.933,0.887937187723055,0.9561459999999999,0.2687264710314512,0.08193148151815728,0.8315,0.067,482.59031002650346
RandomForest,0.87775,0.8512319851231985,0.9155,0.8821970609491688,0.955883125,0.2888305401595312,0.087802525,0.84,0.0845,320.450836152605
MLP,0.80175,0.7832003754106054,0.8345,0.8080367949648996,0.8836510000000001,0.43272278935444636,0.13873125272879594,0.769,0.1655,48.971306813525686
SVM,0.77675,0.77145659637077,0.7865,0.7789056697202278,0.8531002499999999,0.4784522081388749,0.15524333597776707,0.767,0.2135,25.747297248539407
KNN,0.77825,0.7786680020030045,0.7775,0.778083562672004,0.8539137499999999,1.1778456373339958,0.15554591836734694,0.779,0.2225,9.858200187697813
NaiveBayes,0.7115,0.7121364092276831,0.71,0.7110665998998498,0.7765197500000001,0.6285873631043585,0.201521371135749,0.713,0.29,7.5837663818757814
Logistic,0.69575,0.6948730711796914,0.698,0.6964330256921926,0.7590785,0.5894924820113709,0.20026310789972393,0.6935,0.302,7.21518609119005
DecisionTree,0.8405,0.8309037900874635,0.855,0.8427796944307541,0.8405000000000001,5.748962715564185,0.1595,0.826,0.145,3.851306872098195
