model,accuracy,f1_score,roc_auc
Stacking,0.9857433808553971,0.9926547743966422,0.9885526315789475
XGBoost,0.9857433808553971,0.9926547743966422,0.9863157894736841
RandomForest,0.9837067209775967,0.9916142557651991,0.9876315789473684
CatBoost,0.9837067209775967,0.9916142557651991,0.9914473684210526
LightGBM,0.9837067209775967,0.9916142557651991,0.9896052631578948
KNN,0.9755600814663951,0.9873949579831933,0.7759868421052631
MLP,0.9714867617107943,0.9853249475890985,0.9481578947368421
DecisionTree,0.9694501018329938,0.9840595111583422,0.8936184210526316
Logistic,0.9674134419551935,0.9834368530020704,0.8438157894736842
SVM,0.9674134419551935,0.9834368530020704,0.9544736842105263
NaiveBayes,0.9653767820773931,0.9823834196891191,0.8343421052631579
